"","V1","V2","V3","V4","V5"
"result.1",0.245592245566713,2.91192668750462,2.77181493897201,2.19027417431445,8.60784109768634
"result.2",0.197791548939605,2.8699288205327,2.75730516381235,2.17667271323831,8.21261031279522
"result.3",0.244957998498092,2.95908417768766,2.77893533423021,2.34377010782335,9.60600212620134
"result.4",0.206963606464035,2.91297027451569,2.77152901389743,2.22725254326464,8.63751220151041
"result.5",0.208921351069478,3.00128479600273,2.76587068977484,2.34894245757014,10.4777053242615
"result.6",0.242709232644808,2.89452694591954,2.74470814410416,2.23217855620223,9.76866674793002
"result.7",0.218695429920458,2.91844844242566,2.77431049680902,2.24457684233074,9.21584007995211
"result.8",0.222600649110038,2.83461983242283,2.71124021235104,2.0761449098906,8.01285166988529
"result.9",0.206776802072424,3.06461770501718,2.86819878375764,2.46386429156493,9.78534404814081
"result.10",0.205822638782455,2.92593484474184,2.81407339565063,2.31954557495534,8.30834961277069
"result.11",0.258301565507435,2.95576447498678,2.79544600613333,2.2999413616277,9.78041728546826
"result.12",0.225225445531494,2.94753758473016,2.78209561758581,2.30305473013673,9.44544500504022
"result.13",0.181546045553258,2.91737761834461,2.74840379165086,2.24958051984496,9.22021189614159
"result.14",0.216375387920822,2.9229548908686,2.7543488516273,2.21961922023788,9.26463962868472
"result.15",0.239939199809771,2.86653061522816,2.77149409238834,2.20889919456265,9.03170653366176
"result.16",0.220308042405497,2.89957319698861,2.7601949260838,2.27951440500697,8.16627429046009
"result.17",0.248505324805362,2.91476041833262,2.75052000992426,2.30293639997937,9.20362083119513
"result.18",0.233889809155898,2.82443511053626,2.7340638823124,2.10769362018089,7.88512969372488
"result.19",0.234363406296384,2.82291394456664,2.69604607062605,2.04231595617582,7.82941743285128
"result.20",0.228277279856595,2.8876047830495,2.77955296569442,2.22351477244209,8.81252674983913
"result.21",0.2016127395039,2.79689100819678,2.74127155348988,2.16432660931716,6.86763958657092
"result.22",0.199481981129582,2.89797932973157,2.76097685224265,2.24984354196743,7.93405322831006
"result.23",0.227476274987177,2.89147762952231,2.74829440435078,2.22003002815156,8.40577971855534
"result.24",0.180499073262444,2.86929517468585,2.76835518119681,2.2443867953101,9.06217441155824
"result.25",0.202516639482218,2.83954189640249,2.73025817885334,2.20059451324657,7.78724012150306
"result.26",0.214783137876625,2.90780142331328,2.77752342312294,2.25104504853188,9.01127087950286
"result.27",0.204428949850093,2.92249125162167,2.77267194828608,2.31513167127212,10.117202925094
"result.28",0.202361574844149,2.84152770760694,2.76634684926039,2.29991647611103,7.86655588246283
"result.29",0.223844724754367,2.90322474764957,2.76581609487311,2.27069663386513,8.78694445281561
"result.30",0.228665348303781,2.97014840242446,2.83893541705856,2.47589717972616,11.2014051895527
"result.31",0.263754723906906,2.90564376411436,2.71350630984065,2.13707394454708,10.21663773982
"result.32",0.171191776312527,3.05951523664413,2.82962767615278,2.39389361822616,11.3433219110379
"result.33",0.188121503849467,2.88306927799904,2.72311883505878,2.05692229766266,8.04155861318421
"result.34",0.223254749214322,2.8637334672793,2.769804489945,2.15400706805591,7.69500008792254
"result.35",0.257328304713405,2.9244685781355,2.82399496261885,2.29034591807213,9.59830245471196
"result.36",0.246556037774424,2.96752052727081,2.83559795947865,2.37661110111696,9.33921076208324
"result.37",0.21814683472447,2.92059476598814,2.82575262984837,2.40688996593114,8.29662747785653
"result.38",0.247891967911458,2.92427404051389,2.83399519692905,2.44215162360128,9.1113042023851
"result.39",0.233618987644791,2.97616712464088,2.78658128507924,2.31258803725074,9.92344108685354
"result.40",0.248506910850002,2.97261093075165,2.78478640021515,2.29612388218904,9.95642961028041
"result.41",0.251161961442103,2.98249818427709,2.83130787086491,2.35406041328401,9.11644605520146
"result.42",0.254796713031051,2.93839433808102,2.76481795306206,2.28778008057112,9.35915773685161
"result.43",0.213907736571518,2.90598669704247,2.73593178291549,2.24752485778241,9.07245994039859
"result.44",0.20946559743753,2.91761759775069,2.7877007348391,2.29224580667902,8.72118833762529
"result.45",0.209155599619721,2.83580675705982,2.67787155598373,2.05950509621998,8.56501057688779
"result.46",0.212187497871479,3.01294458993719,2.94642068382339,2.65069671904324,8.83650627080392
"result.47",0.260417709814263,2.95599434978513,2.78919211250076,2.28190568724403,9.56502425377682
"result.48",0.193744596055408,2.95007407092943,2.7953877008069,2.29932629303327,8.7860565625845
"result.49",0.263390507736793,2.82495144246508,2.68468814845509,2.00659345675205,8.27064535238814
"result.50",0.246080506251898,2.87943193935363,2.79062202847747,2.23024945636302,7.60384670805097
"result.51",0.210730274491038,2.99776843445064,2.81695681061557,2.38305451057272,9.54758421996221
"result.52",0.23200181887888,2.98978381894758,2.8259563379832,2.39787520576842,8.99355831121442
