"","V1","V2","V3","V4","V5"
"result.1",0.358951709945482,2.2117733330564,2.1682528683212,2.18567364332452,9.54656662724981
"result.2",0.263570180353796,2.12850319982909,2.09499392159441,2.20916932247848,8.29494211949119
"result.3",0.264775282787031,2.1358994929165,2.12640087714953,2.19448699385818,8.21520055640822
"result.4",0.271723315206144,2.13213696195927,2.13273089468537,2.15189488534739,7.43129303662386
"result.5",0.281858684228754,2.13918563072996,2.108510293139,2.11139936653998,7.43009972539743
"result.6",0.412969433708821,2.15982331322361,2.13543333946148,2.13060500454283,9.96292404085371
"result.7",0.287693196681733,2.1228770205106,2.11107079941287,2.18278736095236,7.87067945289498
"result.8",0.370853333717777,2.16221261563791,2.11640443014273,2.11496169017115,9.56560124012376
"result.9",0.417950835377904,2.23818808447234,2.20352987291627,2.17945133534788,8.14881998951436
"result.10",0.317266445242254,2.17114650498291,2.12987150530633,2.11614539383359,7.17921460816986
"result.11",0.425681648948248,2.22867819399426,2.17893407258724,2.16378612960941,9.16602212335529
"result.12",0.304670042693253,2.14867914867003,2.13427652517778,2.10853351821202,7.78282081897644
"result.13",0.298377116119501,2.17250979044601,2.12950242488726,2.17307746410089,8.2839247981165
"result.14",0.282040253190852,2.19342885764333,2.12565451168872,2.15451785675744,7.78082672200542
"result.15",0.28943640641545,2.08926689793478,2.08362838699558,2.05956579518623,7.28685326197241
"result.16",0.300627426730889,2.19573668440371,2.13213460495883,2.17398870279577,8.52913024431485
"result.17",0.304254181257106,2.15361346896555,2.11166906550176,2.11780034036169,7.33550067959909
"result.18",0.261451381401909,2.11390895070637,2.10104916890268,2.04522960925651,7.32537599950088
"result.19",0.192424176385512,2.10074677136494,2.0766979996435,2.10723076103336,7.34832216173033
"result.20",0.436798643116691,2.15165677476949,2.13900061530366,2.18793080092183,8.95125910259475
"result.21",0.280118952511544,2.13443761442314,2.09800325714517,2.16538688201106,8.14775376123974
"result.22",0.364808053945707,2.18598666990333,2.16204533128296,2.13221941175917,9.73932342432709
"result.23",0.377698281249302,2.16145518681076,2.12755876379129,2.01949739879846,7.54537894586186
"result.24",0.265005930541762,2.1523863544335,2.14892395652301,2.24416359337183,7.98365236304607
"result.25",0.236414276124919,2.1134512451595,2.09314874668378,2.1502534168449,9.16318299873547
"result.26",0.303149714222229,2.10690023939466,2.10926950182114,2.06912108792603,7.63592150552388
"result.27",0.415349492697763,2.20136527945321,2.15843477487152,2.13063465362925,8.69846453910228
"result.28",0.213485293395611,2.10337453465366,2.10628779059647,2.10081059194027,6.63147719335429
"result.29",0.303217816510495,2.1645211451896,2.18219100716159,2.23973823747889,9.13852663033593
"result.30",0.323751186835772,2.201175232932,2.15838630488775,2.17460661747928,7.45147621374376
"result.31",0.24503490739774,2.12984996520392,2.10193557258521,2.23795458470896,8.90525944607478
"result.32",0.297477829403021,2.22043204818688,2.16651912541279,2.29425255408181,9.61108080136792
"result.33",0.314259615007281,2.12833730605451,2.09721529586691,2.0557145776453,8.77996872954849
"result.34",0.369073384078222,2.14866318525223,2.1226153504575,2.12443886425718,8.21910226007786
"result.35",0.43297474118836,2.22175294953401,2.14932113578768,2.1199590454074,9.10326669522717
"result.36",0.28284976088983,2.1833431989036,2.16067821880045,2.22043536122531,7.08099576184863
"result.37",0.268989936727206,2.13941170898124,2.16186587665976,2.20578982031927,7.18308550766506
"result.38",0.322689583037494,2.13928161739882,2.15908100413917,2.09780575190796,7.42867655470186
